#{"t_start": 1768400364.4744728, "env_id": "LunarLander-v3"}
r,l,t
182.379847,495,227.847801
-48.476947,395,228.048802
235.294596,469,228.336802
152.671991,946,229.210223
251.934226,392,230.943436
209.032905,439,231.247424
226.070728,446,231.568761
-41.903064,343,231.745761
227.895576,516,232.120762
-37.244389,357,233.782144
-23.19379,389,233.993144
220.235512,458,234.325143
155.139774,930,236.33762
190.771567,682,236.964846
195.810563,442,237.238861
202.568219,502,237.632129
197.272581,480,239.542373
208.801217,446,239.829373
-99.803657,591,240.356373
205.283601,461,240.635723
211.578068,497,242.480768
220.175053,390,242.765257
202.594254,433,243.06727
206.080418,453,243.391256
230.756746,452,243.644671
233.341863,365,245.275767
265.112918,311,245.468767
162.218303,701,245.936188
232.72158,477,246.255188
-22.83229,386,246.477201
174.428637,525,248.282604
204.129591,452,248.639915
230.470182,422,248.896893
197.346304,547,249.324893
29.525698,1000,251.562597
38.732729,180,251.641597
216.506068,526,252.074597
235.420343,377,252.30261
217.965242,404,254.021815
219.950633,435,254.313816
224.764623,437,254.615929
-69.980024,475,254.98093
-128.779926,799,256.954189
234.148824,385,257.180213
137.588125,677,257.682481
209.537045,487,258.062469
157.896071,602,260.017717
205.496038,660,260.483706
-117.135076,613,260.889091
225.494821,409,262.664327
-1.871363,324,262.825325
246.597381,478,263.130325
238.916375,428,263.444325
-112.21216,521,263.840618
22.426906,183,263.919632
197.274229,558,265.804878
199.462484,449,266.116877
-1.540941,198,266.207876
200.258087,595,266.665277
240.232369,359,268.351368
236.468058,377,268.57587
160.920328,647,269.005868
216.379139,439,269.30587
-90.088096,475,269.640172
186.10463,964,271.808588
-30.585504,279,271.9516
240.609992,389,272.186587
241.121588,584,274.03139
188.088104,429,274.31539
239.179428,291,274.47939
133.884209,613,275.003786
182.638097,516,275.429785
253.577619,395,277.061768
-2.294221,232,277.169754
200.255203,363,277.387769
234.274175,338,277.569754
238.549637,348,277.794755
-79.446432,351,277.994755
-14.468877,402,279.690754
226.534457,331,279.892754
-57.064623,413,280.142769
-28.365503,391,280.369755
194.000737,381,280.591755
192.61251,522,282.435874
239.796978,433,282.714163
223.804036,364,282.938163
-42.787097,479,283.195163
156.872208,862,285.179525
177.691174,724,285.945844
-54.274868,389,286.155832
35.210368,196,286.241832
225.293656,387,288.029044
205.003487,456,288.267045
227.560858,609,288.644624
-45.218693,247,288.754624
191.393202,686,290.736809
194.809905,435,291.019811
-9.868696,1000,291.716071
221.359757,494,292.097071
134.171864,673,294.178819
211.964211,561,294.620129
180.609162,538,295.038142
191.627228,351,295.214129
179.345986,470,297.037311
-51.660313,1000,298.134674
-150.079694,882,300.309033
219.944986,399,300.553681
-22.34131,226,300.656682
-68.607196,1000,301.534152
205.566478,397,303.301255
-14.952439,222,303.398256
-68.711159,495,303.76057
237.713868,331,303.952571
-16.032673,252,304.079571
2.636886,223,304.178571
-49.624262,235,304.282571
-81.230506,657,306.374777
-85.664909,587,306.700182
200.237463,510,307.115181
214.264802,435,308.8994
242.298918,393,309.1584
-39.652937,267,309.278412
197.173592,630,309.721838
224.934584,362,309.934838
167.472142,493,311.673034
201.482354,521,312.078048
-74.413659,284,312.215034
186.90365,377,312.455034
205.058557,570,312.912544
205.049631,499,314.929813
194.75887,363,315.15277
219.035057,364,315.374771
-52.071713,468,315.687649
-36.585621,210,315.792648
195.748275,429,317.687898
61.335211,1000,318.55584
195.364037,564,319.040545
-27.809667,1000,322.064542
-82.89698,1000,323.070544
217.680892,646,324.937545
-55.434189,535,325.278545
-56.637751,227,325.389545
213.199785,533,325.743545
198.413848,385,325.957545
-43.061545,309,327.62456
189.890467,360,327.839558
207.385191,371,328.074545
-26.051412,298,328.243543
201.216675,319,328.424545
-49.150153,249,328.550838
216.769237,446,330.297932
220.280057,469,330.60312
214.79825,306,330.75912
133.647479,704,331.380118
213.568909,371,333.075579
-24.474588,466,333.350594
221.335435,542,333.742945
207.227308,550,334.161965
-44.713573,345,334.343945
-19.872223,1000,336.51891
85.636787,1000,337.210574
-59.331268,579,339.303771
224.039334,439,339.59143
-141.429734,713,340.157443
-46.469607,206,340.25543
-1.684597,203,340.34943
-74.977865,559,342.321636
187.428666,393,342.587959
204.90609,636,343.034959
188.980195,490,343.387959
216.409039,405,345.147156
187.891958,506,345.562341
208.236956,379,345.819327
-131.069099,785,346.53507
-22.724489,233,348.233774
-134.720594,751,348.770262
-90.046755,471,349.054262
-34.586968,256,349.176262
213.63436,462,350.937506
-117.335403,621,351.365506
-125.731408,342,351.547794
-50.234955,306,351.685795
153.892181,620,352.317792
213.334634,460,354.006537
-47.752443,438,354.311524
48.999493,1000,355.549405
165.057331,451,357.275517
-145.224658,675,357.891918
-48.440676,306,358.036919
-90.34543,408,358.318931
-94.183146,480,360.158581
84.316362,947,360.965828
112.199482,753,361.691314
197.774746,372,363.362423
199.204425,512,363.663818
214.121651,489,364.005803
-66.80633,273,364.149802
182.147417,379,364.345802
-110.358383,661,366.224089
12.903556,272,366.368104
180.959946,469,366.660352
-93.451898,519,366.977352
-86.029003,555,368.813538
-173.25412,781,369.396553
172.177417,497,369.746068
220.207829,413,370.013054
144.789107,467,371.732221
-15.461899,352,371.90622
193.175494,461,372.205221
-72.038939,405,372.437222
175.183771,476,372.782622
233.809358,520,374.673115
204.774168,468,374.974102
-94.887164,581,375.315101
208.062547,402,375.595479
209.557009,460,377.30261
225.833926,514,377.647767
-56.759085,497,377.940767
-37.050031,301,378.100768
149.011289,480,379.918966
195.113784,420,380.293967
183.175773,649,380.658601
-62.942691,289,380.81258
207.752181,415,381.092601
201.949463,389,382.850821
180.605725,383,383.104798
188.179962,458,383.396799
208.830163,461,383.764655
208.628633,444,384.057655
213.956582,418,385.873897
188.418548,488,386.233916
193.174708,601,386.665251
-82.902936,324,386.838271
-90.986401,354,387.036265
227.136092,402,388.945476
52.718488,1000,389.744763
-16.720879,267,389.876762
224.343566,475,391.753977
219.057834,482,392.050987
-70.088034,462,392.302974
199.855683,400,392.533589
-90.395887,404,392.783329
228.008228,445,394.553856
223.784819,476,394.900856
-25.967469,309,395.062857
25.43075,1000,395.815316
218.507677,430,397.533968
-104.970699,427,397.799628
191.634791,546,398.143628
-118.002075,425,398.409628
204.716763,379,400.080349
183.274229,411,400.296335
-44.851501,355,400.498038
188.879164,420,400.737848
186.501819,383,400.971848
-19.188461,379,401.189848
214.850528,456,403.046046
117.147553,646,403.462046
-49.786424,333,403.663451
-76.577157,295,403.814452
199.038487,409,405.611152
-63.332935,375,405.82015
-104.002065,451,406.068163
-49.67962,371,406.257149
226.417159,411,406.54081
-8.708208,312,406.70452
-54.706049,292,408.311657
-55.198214,273,408.442657
