#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-174.744084,783,299.345554
-93.43306,173,299.420555
-138.788854,638,299.787555
-101.476411,406,300.024868
-152.952608,421,300.321868
-168.075666,408,302.075088
154.117563,561,302.597087
-104.047678,329,302.779088
166.653396,645,303.196518
-116.08632,475,304.993709
-123.203314,471,305.358694
-97.264822,184,305.435696
128.229076,463,305.765696
-85.464834,290,305.902696
-125.969347,465,306.180146
-164.730261,583,308.037611
-127.383515,680,308.418611
-70.077109,465,308.706611
-194.93656,639,310.503044
-189.043765,370,310.701043
-68.225599,237,310.806043
168.373457,605,311.222465
-155.381551,586,311.669452
-40.010791,1000,314.0181
-76.966187,280,314.162098
-141.017095,628,314.5991
47.514805,942,316.887378
73.591449,808,317.423684
-90.112542,496,319.145914
-148.901172,517,319.513916
-96.836398,235,319.626928
-155.178255,710,320.145243
151.294008,742,322.180424
68.222258,821,322.895424
-105.997243,140,322.953122
-109.298378,248,323.072838
-96.343466,281,323.22185
125.984821,503,325.152082
77.270689,656,325.650098
-121.935691,459,325.93775
-102.822858,287,326.070601
-92.81684,179,326.147601
116.108009,598,328.117982
-101.786169,384,328.367983
-128.612899,376,328.579104
103.334736,546,328.978289
113.541766,540,330.846389
189.329168,539,331.294852
-236.598068,888,331.99441
-73.5111,215,332.095409
152.180923,643,334.267995
-112.600498,184,334.349011
90.257096,617,334.897996
147.518623,537,335.314449
-116.426637,640,337.110615
142.347009,491,337.389628
145.463242,585,337.841628
-37.54257,290,337.984003
91.494758,839,340.210041
-108.500298,204,340.305042
127.617952,617,340.741041
-112.989682,461,341.027345
-108.335083,227,341.133346
-90.603678,232,342.646449
160.172016,595,343.138031
102.488888,844,343.760044
-179.610996,1000,346.228012
175.680472,537,346.598012
167.820793,420,346.832012
159.338636,557,347.221763
140.496978,533,349.175243
145.819405,628,349.667242
-97.188167,359,349.840243
-108.797051,319,350.023783
-53.753369,292,351.66591
-62.385857,303,351.882912
131.859564,523,352.29442
141.710552,603,352.767432
-151.169248,1000,355.130281
154.187584,571,355.595268
-80.161206,329,355.770268
-108.59596,277,355.902268
-109.784707,500,357.68279
111.970162,554,358.048208
136.590048,709,358.605206
71.725582,564,358.968524
-93.833985,330,360.638648
158.418589,477,360.879633
-158.670391,481,361.132124
-108.99614,354,361.348136
-128.050007,401,361.573124
182.189381,539,363.526331
-73.457869,316,363.684331
-215.288279,724,364.245545
-87.43106,276,364.380562
-68.228963,216,364.471547
-203.476777,853,366.581764
126.958562,562,367.030183
145.740706,630,367.515183
-82.875657,241,369.097954
-73.278118,202,369.207955
165.080616,509,369.621955
-96.549461,567,370.04455
-177.14856,610,370.367551
